country;gender;age;smoker;insured_rates
DE;F;25;No;0,000198
DE;F;26;No;0,000195
DE;F;27;No;0,000193
DE;F;28;No;0,000193
DE;F;29;No;0,000193
DE;F;30;No;0,000195
DE;F;31;No;0,000200
DE;F;32;No;0,000211
DE;F;33;No;0,000228
DE;F;34;No;0,000251
DE;F;35;No;0,000281
DE;F;36;No;0,000314
DE;F;37;No;0,000350
DE;F;38;No;0,000390
DE;F;39;No;0,000432
DE;F;40;No;0,000479
DE;F;41;No;0,000532
DE;F;42;No;0,000592
DE;F;43;No;0,000661
DE;F;44;No;0,000740
DE;F;45;No;0,000831
DE;F;46;No;0,000933
DE;F;47;No;0,001045
DE;F;48;No;0,001165
DE;F;49;No;0,001293
DE;F;50;No;0,001427
DE;F;51;No;0,001571
DE;F;52;No;0,001727
DE;F;53;No;0,001892
DE;F;54;No;0,002069
DE;F;55;No;0,002259
DE;F;56;No;0,002469
DE;F;57;No;0,002696
DE;F;58;No;0,002950
DE;F;59;No;0,003238
DE;F;60;No;0,003569
DE;F;61;No;0,003957
DE;F;62;No;0,004426
DE;F;63;No;0,004988
DE;F;64;No;0,005647
DE;F;65;No;0,006429
DE;F;66;No;0,007331
DE;F;67;No;0,008371
DE;F;68;No;0,009545
DE;F;69;No;0,010885
DE;F;70;No;0,012413
DE;F;71;No;0,014154
DE;F;72;No;0,016105
DE;F;73;No;0,018711
DE;F;74;No;0,021204
DE;F;75;No;0,024078
DE;F;76;No;0,027406
DE;F;77;No;0,031289
DE;F;78;No;0,035750
DE;F;79;No;0,040993
DE;F;80;No;0,046993
DE;F;0;Yes;0,003797
DE;F;1;Yes;0,000289
DE;F;2;Yes;0,000237
DE;F;3;Yes;0,000190
DE;F;4;Yes;0,000151
DE;F;5;Yes;0,000122
DE;F;6;Yes;0,000100
DE;F;7;Yes;0,000086
DE;F;8;Yes;0,000078
DE;F;9;Yes;0,000075
DE;F;10;Yes;0,000079
DE;F;11;Yes;0,000088
DE;F;12;Yes;0,000103
DE;F;13;Yes;0,000128
DE;F;14;Yes;0,000163
DE;F;15;Yes;0,000203
DE;F;16;Yes;0,000245
DE;F;17;Yes;0,000284
DE;F;18;Yes;0,000300
DE;F;19;Yes;0,000306
DE;F;20;Yes;0,000305
DE;F;21;Yes;0,000299
DE;F;22;Yes;0,000291
DE;F;23;Yes;0,000283
DE;F;24;Yes;0,000280
DE;F;25;Yes;0,000281
DE;F;26;Yes;0,000287
DE;F;27;Yes;0,000298
DE;F;28;Yes;0,000316
DE;F;29;Yes;0,000338
DE;F;30;Yes;0,000366
DE;F;31;Yes;0,000401
DE;F;32;Yes;0,000446
DE;F;33;Yes;0,000503
DE;F;34;Yes;0,000574
DE;F;35;Yes;0,000657
DE;F;36;Yes;0,000747
DE;F;37;Yes;0,000840
DE;F;38;Yes;0,000940
DE;F;39;Yes;0,001044
DE;F;40;Yes;0,001158
DE;F;41;Yes;0,001284
DE;F;42;Yes;0,001427
DE;F;43;Yes;0,001592
DE;F;44;Yes;0,001781
DE;F;45;Yes;0,001999
DE;F;46;Yes;0,002246
