"country","age","gender","population_rates"
"DE",0,"M",0.000951313346352135
"DE",1,"M",0.000524538294489734
"DE",2,"M",0.000296862606776275
"DE",3,"M",0.00017812459067561
"DE",4,"M",0.000116848339769163
"DE",5,"M",8.55276501861447e-05
"DE",6,"M",7.02509628208176e-05
"DE",7,"M",6.41790723825536e-05
"DE",8,"M",6.39376222030487e-05
"DE",9,"M",6.77706368670851e-05
"DE",10,"M",7.46682718530374e-05
"DE",11,"M",8.40624275177644e-05
"DE",12,"M",9.58571217792762e-05
"DE",13,"M",0.000110580812426254
"DE",14,"M",0.000129467677560004
"DE",15,"M",0.00015434598343373
"DE",16,"M",0.000187240380353974
"DE",17,"M",0.000229541205378212
"DE",18,"M",0.000280647935165967
"DE",19,"M",0.000336477465834752
"DE",20,"M",0.000389095464844627
"DE",21,"M",0.000428937947378074
"DE",22,"M",0.000449312378970792
"DE",23,"M",0.000450154790650083
"DE",24,"M",0.000437979185478474
"DE",25,"M",0.000422403601141103
"DE",26,"M",0.000412374268967905
"DE",27,"M",0.000414329741384992
"DE",28,"M",0.00043213405951467
"DE",29,"M",0.000467459004859712
"DE",30,"M",0.000519666660994512
"DE",31,"M",0.000585199714463989
"DE",32,"M",0.00065738510160027
"DE",33,"M",0.000727813418007939
"DE",34,"M",0.000789461074847829
"DE",35,"M",0.000839969808886149
"DE",36,"M",0.000882896061861086
"DE",37,"M",0.000926252665859022
"DE",38,"M",0.000979603851049832
"DE",39,"M",0.00105132085635263
"DE",40,"M",0.00114661187782657
"DE",41,"M",0.00126617932486291
"DE",42,"M",0.00140559651115782
"DE",43,"M",0.00155619833196888
"DE",44,"M",0.00170828380344101
"DE",45,"M",0.00185607849185902
"DE",46,"M",0.00200217813894445
"DE",47,"M",0.00215908397217006
"DE",48,"M",0.00234735425010774
"DE",49,"M",0.00259176402915414
"DE",50,"M",0.00291681681280757
"DE",51,"M",0.00334160752739717
"DE",52,"M",0.00387348961015856
"DE",53,"M",0.00450164315380135
"DE",54,"M",0.00519476100022621
