country;gender;age;smoker;rates
CHE;M;20;Yes;0,00111494365645817
CHE;M;20;No;0,00029014912260877
CHE;M;21;Yes;0,00107811120913826
CHE;M;21;No;0,000280563972532795
CHE;M;22;Yes;0,00104276827314718
CHE;M;22;No;0,000271366447788983
CHE;M;23;Yes;0,00100919242987443
CHE;M;23;No;0,000262628785208451
CHE;M;24;Yes;0,000978222002887315
CHE;M;24;No;0,0002545691472482
CHE;M;25;Yes;0,000950739115452375
CHE;M;25;No;0,000247417094649117
CHE;M;26;Yes;0,000927863858096502
CHE;M;26;No;0,000241464115937761
CHE;M;27;Yes;0,000910630910440745
CHE;M;27;No;0,000236979472598774
CHE;M;28;Yes;0,000899868408001489
CHE;M;28;No;0,000234178675785647
CHE;M;29;Yes;0,000896441756026501
CHE;M;29;No;0,000233286935599253
CHE;M;30;Yes;0,000901007323275042
CHE;M;30;No;0,000234475063199874
CHE;M;31;Yes;0,000914237542834496
CHE;M;31;No;0,000237918050273581
CHE;M;32;Yes;0,000936892453011802
CHE;M;32;No;0,000243813686589059
CHE;M;33;Yes;0,000969327196571026
CHE;M;33;No;0,00025225439328418
CHE;M;34;Yes;0,00101236550383917
CHE;M;34;No;0,000263454535121022
CHE;M;35;Yes;0,00106655687300479
CHE;M;35;No;0,00027755711162818
CHE;M;36;Yes;0,00113284784242882
CHE;M;36;No;0,000294808446710321
CHE;M;37;Yes;0,0012121920704199
CHE;M;37;No;0,000315456717142941
CHE;M;38;Yes;0,00130590719944571
CHE;M;38;No;0,000339844821693788
CHE;M;39;Yes;0,00141525438336
CHE;M;39;No;0,000368300958726987
CHE;M;40;Yes;0,00154230143529796
CHE;M;40;No;0,00040136324885825
CHE;M;41;Yes;0,00168921760777956
CHE;M;41;No;0,000439596210941724
CHE;M;42;Yes;0,00185925959503137
CHE;M;42;No;0,000483847355940829
CHE;M;43;Yes;0,00205575054985569
CHE;M;43;No;0,000534981489771364
CHE;M;44;Yes;0,00228246923611482
CHE;M;44;No;0,000593981985012592
CHE;M;45;Yes;0,00254279711721601
CHE;M;45;No;0,000661728822132648
CHE;M;46;Yes;0,00284017816515264
CHE;M;46;No;0,00073911824862025
CHE;M;47;Yes;0,00317839282740726
CHE;M;47;No;0,000827134075194247
CHE;M;48;Yes;0,00356037973684467
CHE;M;48;No;0,000926541041617448
CHE;M;49;Yes;0,00398985198621244
CHE;M;49;No;0,00103830543044291
CHE;M;50;Yes;0,00446931111817615
CHE;M;50;No;0,00116307823457541
CHE;M;51;Yes;0,00500025890746362
CHE;M;51;No;0,00130125027073212
CHE;M;52;Yes;0,00558433995067391
CHE;M;52;No;0,00145324952310531
CHE;M;53;Yes;0,00622481704736935
CHE;M;53;No;0,00161992509149011
CHE;M;54;Yes;0,0069291165840678
CHE;M;54;No;0,00180320959330609
CHE;M;55;Yes;0,00770904278209932
CHE;M;55;No;0,00200617491872648
CHE;M;56;Yes;0,0085823736333477
CHE;M;56;No;0,00223344755153543
CHE;M;57;Yes;0,00956927591903582
CHE;M;57;No;0,00249027562588193
CHE;M;58;Yes;0,0106943418908802
CHE;M;58;No;0,00278305894521542
CHE;M;59;Yes;0,0119884212971698
CHE;M;59;No;0,00311982574248459
CHE;M;60;Yes;0,0134945074969651
CHE;M;60;No;0,00351176446235851
CHE;M;61;Yes;0,0152693886121914
CHE;M;61;No;0,0039736534513983
CHE;M;62;Yes;0,0173855134256104
CHE;M;62;No;0,00452434653296138
CHE;M;63;Yes;0,0199262778196521
CHE;M;63;No;0,00518554636616969
CHE;M;64;Yes;0,0229764588038925
CHE;M;64;No;0,00597931502994838
CHE;M;65;Yes;0,0266117588400157
CHE;M;65;No;0,00692535307392585
CHE;M;66;Yes;0,0308806455116331
CHE;M;66;No;0,00803627353623936
CHE;M;67;Yes;0,0357923481037984
CHE;M;67;No;0,00931447821445528
CHE;M;68;Yes;0,0413082070411814
CHE;M;68;No;0,0107499064729553
CHE;M;69;Yes;0,0473406853691321
CHE;M;69;No;0,0123197779941508
CHE;M;70;Yes;0,0537698229995206
CHE;M;70;No;0,0139928747751255
CHE;M;71;Yes;0,0604629682021314
CHE;M;71;No;0,0157346759834482
CHE;M;72;Yes;0,0673256741898355
CHE;M;72;No;0,0175206031103667
CHE;M;73;Yes;0,0743242022816118
CHE;M;73;No;0,0193418761169618
CHE;M;74;Yes;0,0815027928224351
CHE;M;74;No;0,0212100079592506
CHE;M;75;Yes;0,0889712235995295
CHE;M;75;No;0,0231535668329986
CHE;F;20;Yes;0,000431774806969721
CHE;F;20;No;0,000112363598538071
CHE;F;21;Yes;0,000421251577005299
CHE;F;21;No;0,000109625069175173
CHE;F;22;Yes;0,000411027335981253
CHE;F;22;No;0,000106964347671191
CHE;F;23;Yes;0,000401261469666708
CHE;F;23;No;0,000104422912033374
CHE;F;24;Yes;0,000392276958112251
CHE;F;24;No;0,000102084813485081
CHE;F;25;Yes;0,000381225895414052
CHE;F;25;No;9,92089227374147e-05
CHE;F;26;Yes;0,000372023992141442
CHE;F;26;No;9,68142509121496e-05
CHE;F;27;Yes;0,000368239991536121
CHE;F;27;No;9,58295155407921e-05
CHE;F;28;Yes;0,000363887861862397
CHE;F;28;No;9,46969322044091e-05
CHE;F;29;Yes;0,000365634104201884
CHE;F;29;No;9,51513683364322e-05
CHE;F;30;Yes;0,000373901941036499
CHE;F;30;No;9,73029619075875e-05
CHE;F;31;Yes;0,000386031075266352
CHE;F;31;No;0,000100459406302253
CHE;F;32;Yes;0,000402478398275972
CHE;F;32;No;0,000104739601371181
CHE;F;33;Yes;0,00042370789556877
CHE;F;33;No;0,000110264293114348
CHE;F;34;Yes;0,00045021694660177
CHE;F;34;No;0,000117162917859969
CHE;F;35;Yes;0,000478488763196089
CHE;F;35;No;0,000124520278684333
CHE;F;36;Yes;0,000517058248224345
CHE;F;36;No;0,000134557469510612
CHE;F;37;Yes;0,000562881807881405
CHE;F;37;No;0,000146482435899984
CHE;F;38;Yes;0,000616868259543949
CHE;F;38;No;0,000160531685377224
CHE;F;39;Yes;0,000685754773287842
CHE;F;39;No;0,000178458476033051
CHE;F;40;Yes;0,000766335211071027
CHE;F;40;No;0,000199428453472533
CHE;F;41;Yes;0,000874335006734168
CHE;F;41;No;0,000227533950797063
CHE;F;42;Yes;0,00100875745698261
CHE;F;42;No;0,000262515589351252
CHE;F;43;Yes;0,00117469800938722
CHE;F;43;No;0,000305699390977931
CHE;F;44;Yes;0,00136815418511006
CHE;F;44;No;0,000356043764277958
CHE;F;45;Yes;0,00160073343653165
CHE;F;45;No;0,000416569392946362
CHE;F;46;Yes;0,00185640303658843
CHE;F;46;No;0,000483103974944759
CHE;F;47;Yes;0,00215393969814848
CHE;F;47;No;0,000560533897789323
CHE;F;48;Yes;0,0024840602754415
CHE;F;48;No;0,00064644334738514
CHE;F;49;Yes;0,00285771164039923
CHE;F;49;No;0,000743681100231283
CHE;F;50;Yes;0,00325614305092565
CHE;F;50;No;0,000847367527356448
CHE;F;51;Yes;0,00366517890180633
CHE;F;51;No;0,000953813617758516
CHE;F;52;Yes;0,00405120953019586
CHE;F;52;No;0,00105427290776708
CHE;F;53;Yes;0,00439709991785883
CHE;F;53;No;0,00114428623886044
CHE;F;54;Yes;0,00473899784898494
CHE;F;54;No;0,00123326058672402
CHE;F;55;Yes;0,00512086651887432
CHE;F;55;No;0,00133263678289177
CHE;F;56;Yes;0,00560974885235105
CHE;F;56;No;0,0014598618487465
CHE;F;57;Yes;0,00622551716793602
CHE;F;57;No;0,00162010728847107
CHE;F;58;Yes;0,00698022980098003
CHE;F;58;No;0,00181651112200208
CHE;F;59;Yes;0,00787701227696996
CHE;F;59;No;0,00204988672539892
CHE;F;60;Yes;0,00890926421044676
CHE;F;60;No;0,00231851643693155
CHE;F;61;Yes;0,0100303541605811
CHE;F;61;No;0,00261026504997835
CHE;F;62;Yes;0,01117140816678
CHE;F;62;No;0,0029072090406725
CHE;F;63;Yes;0,012362733842854
CHE;F;63;No;0,00321723555874089
CHE;F;64;Yes;0,0139079250246565
CHE;F;64;No;0,00361935082534281
CHE;F;65;Yes;0,016038275049221
CHE;F;65;No;0,00417374582718582
CHE;F;66;Yes;0,0185555729682364
